"""Hour""","""Distance Travelled (Km)""","""Boarding""","""Alighting""","""Ave. Distance Per Trip (Km)""","""Ave. Speed Per Trip (Kph)""","""50th Percentile Speed (Kph)""","""80th Percentile Speed (Kph)""","""Waiting Time (min.)""","""Moving Time with Load (min.)""","""Max Speed (Kph)""","""Trips"""
1,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
2,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
3,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
4,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
5,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
6,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
7,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
8,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
9,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
10,4.8840,10,5,1.2210,14.26,10,12,0.43,18.15,43.20,4
11,5.6020,0,5,2.8010,15.87,10,12,0.25,20.68,27.00,2
12,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
13,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
14,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
15,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
16,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
17,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
18,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
19,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
20,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
21,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
22,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
23,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
24,0.0000,0,0,0.0000,0.00,0,0,0.00,0.00,0.00,0
