"""Current Lat""","""Current Lng""","""Destination Lat""","""Destination Lng""","""Distance""","""Time""","""Time Difference""","""Speed""","""Is Moving""","""Has Load"""
14.685982,121.085998,*,*,*,*,*,*,*,*,*,*
14.685982,121.085998,*,*,*,*,*,*,*,*,*,*
14.685982,121.085998,*,*,*,*,*,*,*,*,*,*
14.685982,121.085998,14.685982,121.085998,0,10:40:44,5,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:40:45,4,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:40:46,3,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:40:47,3,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:40:48,3,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:40:50,4,0,2,1,0,2
14.685982,121.085998,14.685982,121.085998,0,10:40:51,4,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:40:52,4,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:40:54,4,0,2,1,0,2
14.685982,121.085998,14.685982,121.085998,0,10:40:56,5,0,2,1,0,2
14.685982,121.085998,14.685982,121.085998,0,10:40:57,5,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:40:59,5,0,2,1,0,2
14.685982,121.085998,14.685982,121.085998,0,10:41:00,4,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:41:01,4,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:41:02,3,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:41:03,3,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:41:04,3,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:41:05,3,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:41:07,4,0,2,1,0,2
14.685982,121.085998,14.685982,121.085998,0,10:41:09,5,0,2,1,0,2
14.685982,121.085998,14.685982,121.085998,0,10:41:10,5,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:41:11,4,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:41:12,3,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:41:13,3,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:41:14,3,0,2,1,0,1
14.685982,121.085998,14.685982,121.085998,0,10:41:15,3,0,2,1,0,1
14.685929,121.086029,14.685982,121.085998,7,10:41:16,3,8.4,1,1,7,1
14.685919,121.086036,14.685982,121.085998,8,10:41:17,3,9.6,1,1,1,1
14.685911,121.086051,14.685982,121.085998,10,10:41:18,3,12,1,1,2,1
14.685902,121.086067,14.685929,121.086029,5,10:41:19,3,6,1,1,2,1
14.685887,121.08609,14.685919,121.086036,7,10:41:21,4,6.3,1,1,3,2
14.68588,121.086105,14.685911,121.086051,7,10:41:22,4,6.3,1,1,2,1
14.685875,121.086112,14.685902,121.086067,6,10:41:23,4,5.4,1,1,1,1
14.685871,121.086128,14.685887,121.08609,4,10:41:25,4,3.6,1,1,2,2
14.685871,121.086128,14.68588,121.086105,3,10:41:26,4,2.7,1,1,0,1
14.685871,121.086128,14.685875,121.086112,2,10:41:27,4,1.8,2,1,0,1
14.685877,121.086174,14.685871,121.086128,5,10:41:28,3,6,1,1,5,1
14.685891,121.086181,14.685871,121.086128,6,10:41:30,4,5.4,1,1,2,2
14.685907,121.086189,14.685871,121.086128,8,10:41:31,4,7.2,1,1,2,1
14.685935,121.086189,14.685877,121.086174,7,10:41:33,5,5.04,1,1,3,2
14.685954,121.086196,14.685891,121.086181,7,10:41:34,4,6.3,1,1,2,1
14.685976,121.086204,14.685907,121.086189,8,10:41:35,4,7.2,1,1,3,1
14.685998,121.086212,14.685935,121.086189,7,10:41:36,3,8.4,1,1,3,1
14.686024,121.086227,14.685954,121.086196,8,10:41:37,3,9.6,1,1,3,1
14.686047,121.086242,14.685976,121.086204,9,10:41:38,3,10.799999999999999,1,1,3,1
14.686072,121.086257,14.685998,121.086212,10,10:41:39,3,12,1,1,3,1
14.686099,121.086273,14.686024,121.086227,10,10:41:40,3,12,1,1,3,1
14.686159,121.086288,14.686047,121.086242,13,10:41:42,4,11.7,1,1,7,2
14.686183,121.086303,14.686072,121.086257,13,10:41:43,4,11.7,1,1,3,1
14.686234,121.086326,14.686099,121.086273,16,10:41:45,5,11.52,1,1,6,2
14.686255,121.086326,14.686159,121.086288,11,10:41:46,4,9.899999999999999,1,1,2,1
14.686272,121.086326,14.686183,121.086303,10,10:41:47,4,9,1,1,2,1
14.686303,121.086318,14.686234,121.086326,8,10:41:49,4,7.2,1,1,4,2
14.686312,121.086303,14.686255,121.086326,7,10:41:50,4,6.3,1,1,2,1
14.686335,121.086235,14.686272,121.086326,12,10:41:52,5,8.64,1,1,8,2
14.686348,121.086196,14.686303,121.086318,14,10:41:53,4,12.6,1,1,4,1
14.686375,121.086112,14.686312,121.086303,22,10:41:55,5,15.839999999999998,1,1,10,2
14.686388,121.086059,14.686335,121.086235,20,10:41:56,4,18,1,1,6,1
14.686401,121.086013,14.686348,121.086196,21,10:41:57,4,18.900000000000002,1,1,5,1
14.68641,121.085968,14.686375,121.086112,16,10:41:58,3,19.2,1,1,5,1
14.686419,121.085929,14.686388,121.086059,14,10:41:59,3,16.8,1,1,4,1
14.686424,121.085899,14.686401,121.086013,13,10:42:00,3,15.599999999999998,1,1,3,1
14.686434,121.085868,14.68641,121.085968,11,10:42:01,3,13.199999999999998,1,1,4,1
14.68644,121.085838,14.686419,121.085929,10,10:42:02,3,12,1,1,3,1
14.686442,121.085807,14.686424,121.085899,10,10:42:03,3,12,1,1,3,1
14.686448,121.085777,14.686434,121.085868,10,10:42:04,3,12,1,1,3,1
14.686452,121.085739,14.68644,121.085838,11,10:42:05,3,13.199999999999998,1,1,4,1
14.686457,121.085708,14.686442,121.085807,11,10:42:06,3,13.199999999999998,1,1,3,1
14.686464,121.08567,14.686448,121.085777,12,10:42:07,3,14.399999999999999,1,1,4,1
14.686466,121.085624,14.686452,121.085739,12,10:42:08,3,14.399999999999999,1,1,5,1
14.686472,121.08554,14.686457,121.085708,18,10:42:10,4,16.2,1,1,9,2
14.686475,121.085502,14.686464,121.08567,18,10:42:11,4,16.2,1,1,4,1
14.686477,121.085456,14.686466,121.085624,18,10:42:12,4,16.2,1,1,5,1
14.686477,121.085411,14.686472,121.08554,14,10:42:13,3,16.8,1,1,5,1
14.686479,121.085365,14.686475,121.085502,15,10:42:14,3,17.999999999999996,1,1,5,1
14.686479,121.085327,14.686477,121.085456,14,10:42:15,3,16.8,1,1,4,1
14.68648,121.085281,14.686477,121.085411,14,10:42:16,3,16.8,1,1,5,1
14.686482,121.085243,14.686479,121.085365,13,10:42:17,3,15.599999999999998,1,1,4,1
